id,n_clauses,fl_problem,nl_problem,nl_solution,fl_problem_renamed,dsl_problem_renamed
0,2,a b = segment a b; c = on_dia c b a ? eqangle a b a c a b a c,,"==========================
* From theorem premises:
Points : A, B, C

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AB,AC) = ∠(AB,AC) [g0]
==========================",a b = segment a b; c = on_dia c b a ? eqangle a b a c a b a c,
1,2,a b = segment a b; c = on_dia c b a ? eqratio a b a c a b a c,,"==========================
* From theorem premises:
Points : A, B, C

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AB:AC = AB:AC [g0]
==========================",a b = segment a b; c = on_dia c b a ? eqratio a b a c a b a c,
2,2,a b = segment a b; c = on_dia c b a ? sameclock a b c a b c,,"==========================
* From theorem premises:
Points : A, B, C
 (Numerical Check)=> ABC are sameclock to ABC [g0]

* Auxiliary Constructions:
Points : 

* Proof steps:
==========================",a b = segment a b; c = on_dia c b a ? sameclock a b c a b c,
3,2,a b = segment a b; c = on_dia c b a ? eqangle a b b c a b b c,,"==========================
* From theorem premises:
Points : A, B, C

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AB,BC) = ∠(AB,BC) [g0]
==========================",a b = segment a b; c = on_dia c b a ? eqangle a b b c a b b c,
4,2,a b = segment a b; c = on_dia c b a ? eqratio a b b c a b b c,,"==========================
* From theorem premises:
Points : A, B, C

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AB:BC = AB:BC [g0]
==========================",a b = segment a b; c = on_dia c b a ? eqratio a b b c a b b c,
5,2,a b = segment a b; c = on_dia c b a ? eqangle a c b c a c b c,,"==========================
* From theorem premises:
Points : A, B, C

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AC,BC) = ∠(AC,BC) [g0]
==========================",a b = segment a b; c = on_dia c b a ? eqangle a c b c a c b c,
6,2,a b = segment a b; c = on_dia c b a ? eqratio a c b c a c b c,,"==========================
* From theorem premises:
Points : A, B, C

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AC:BC = AC:BC [g0]
==========================",a b = segment a b; c = on_dia c b a ? eqratio a c b c a c b c,
7,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle a b a d a b a d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AB,AD) = ∠(AB,AD) [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle a b a d a b a d",
8,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio a b a d a b a d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AB:AD = AB:AD [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio a b a d a b a d",
9,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? sameclock a b d a b d",,"==========================
* From theorem premises:
Points : A, B, C, D
 (Numerical Check)=> ABD are sameclock to ABD [g0]

* Auxiliary Constructions:
Points : 

* Proof steps:
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? sameclock a b d a b d",
10,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle a b b d a b b d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AB,BD) = ∠(AB,BD) [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle a b b d a b b d",
11,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio a b b d a b b d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AB:BD = AB:BD [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio a b b d a b b d",
12,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle a d b d a d b d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AD,BD) = ∠(AD,BD) [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle a d b d a d b d",
13,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio a d b d a d b d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AD:BD = AD:BD [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio a d b d a d b d",
14,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle a c a d a c a d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AC,AD) = ∠(AC,AD) [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle a c a d a c a d",
15,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio a c a d a c a d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AC:AD = AC:AD [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio a c a d a c a d",
16,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? sameclock a c d a c d",,"==========================
* From theorem premises:
Points : A, B, C, D
 (Numerical Check)=> ACD are sameclock to ACD [g0]

* Auxiliary Constructions:
Points : 

* Proof steps:
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? sameclock a c d a c d",
17,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle a c c d a c c d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AC,CD) = ∠(AC,CD) [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle a c c d a c c d",
18,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio a c c d a c c d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AC:CD = AC:CD [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio a c c d a c c d",
